,Vehicle Type,Average_CO2
0,Light-duty vehicles ,383.6120645161292
1,Light-duty trucks ,517.6175483870968
2,Buses ,1454.5303548387096
3,Heavy-duty vehicles (other than buses) ,957.8792580645161
4,Motorcycles,389.91909677419363
